Datetime,hourly_height:m,hourly_height_sigma:m,hourly_height_Inferred,hourly_height_LimitTol
2000-01-01 00:00:00,-0.354,0.008,0,0
2000-01-01 01:00:00,-0.713,0.008,0,0
2000-01-01 02:00:00,-0.967,0.005,0,0
2000-01-01 03:00:00,-1.036,0.005,0,0
2000-01-01 04:00:00,-0.889,0.002,0,0
2000-01-01 05:00:00,-0.686,0.005,0,0
2000-01-01 06:00:00,-0.404,0.004,0,0
2000-01-01 07:00:00,-0.099,0.004,0,0
2000-01-01 08:00:00,0.145,0.005,0,0
2000-01-01 09:00:00,0.322,0.003,0,0
2000-01-01 10:00:00,0.373,0.002,0,0
2000-01-01 11:00:00,0.287,0.001,0,0
2000-01-01 12:00:00,0.040,0.008,0,0
2000-01-01 13:00:00,-0.321,0.004,0,0
2000-01-01 14:00:00,-0.659,0.006,0,0
2000-01-01 15:00:00,-0.877,0.004,0,0
2000-01-01 16:00:00,-0.872,0.014,0,0
2000-01-01 17:00:00,-0.782,0.006,0,0
2000-01-01 18:00:00,-0.574,0.010,0,0
2000-01-01 19:00:00,-0.296,0.009,0,0
2000-01-01 20:00:00,-0.034,0.003,0,0
2000-01-01 21:00:00,0.137,0.005,0,0
2000-01-01 22:00:00,0.217,0.003,0,0
2000-01-01 23:00:00,0.165,0.004,0,0
2000-01-02 00:00:00,-0.041,0.005,0,0
2000-01-02 01:00:00,-0.400,0.011,0,0
2000-01-02 02:00:00,-0.748,0.005,0,0
2000-01-02 03:00:00,-0.944,0.006,0,0
2000-01-02 04:00:00,-0.932,0.005,0,0
2000-01-02 05:00:00,-0.820,0.006,0,0
2000-01-02 06:00:00,-0.615,0.005,0,0
2000-01-02 07:00:00,-0.309,0.005,0,0
2000-01-02 08:00:00,-0.018,0.003,0,0
2000-01-02 09:00:00,0.230,0.005,0,0
2000-01-02 10:00:00,0.375,0.005,0,0
2000-01-02 11:00:00,0.409,0.003,0,0
2000-01-02 12:00:00,0.293,0.005,0,0
2000-01-02 13:00:00,-0.000,0.005,0,0
2000-01-02 14:00:00,-0.418,0.007,0,0
2000-01-02 15:00:00,-0.720,0.006,0,0
2000-01-02 16:00:00,-0.878,0.009,0,0
2000-01-02 17:00:00,-0.891,0.007,0,0
2000-01-02 18:00:00,-0.764,0.007,0,0
2000-01-02 19:00:00,-0.510,0.005,0,0
2000-01-02 20:00:00,-0.256,0.012,0,0
2000-01-02 21:00:00,-0.015,0.006,0,0
2000-01-02 22:00:00,0.133,0.005,0,0
2000-01-02 23:00:00,0.218,0.009,0,0
2000-01-03 00:00:00,0.154,0.002,0,0
2000-01-03 01:00:00,-0.069,0.006,0,0
2000-01-03 02:00:00,-0.444,0.005,0,0
2000-01-03 03:00:00,-0.766,0.006,0,0
2000-01-03 04:00:00,-0.937,0.004,0,0
2000-01-03 05:00:00,-0.921,0.003,0,0
2000-01-03 06:00:00,-0.792,0.004,0,0
2000-01-03 07:00:00,-0.534,0.009,0,0
2000-01-03 08:00:00,-0.227,0.005,0,0
2000-01-03 09:00:00,0.071,0.006,0,0
2000-01-03 10:00:00,0.295,0.004,0,0
2000-01-03 11:00:00,0.457,0.004,0,0
2000-01-03 12:00:00,0.451,0.002,0,0
2000-01-03 13:00:00,0.276,0.005,0,0
2000-01-03 14:00:00,-0.092,0.008,0,0
2000-01-03 15:00:00,-0.485,0.008,0,0
2000-01-03 16:00:00,-0.746,0.007,0,0
2000-01-03 17:00:00,-0.894,0.008,0,0
2000-01-03 18:00:00,-0.865,0.005,0,0
2000-01-03 19:00:00,-0.692,0.005,0,0
2000-01-03 20:00:00,-0.418,0.006,0,0
2000-01-03 21:00:00,-0.153,0.007,0,0
2000-01-03 22:00:00,0.082,0.009,0,0
2000-01-03 23:00:00,0.239,0.004,0,0
2000-01-04 00:00:00,0.250,0.004,0,0
2000-01-04 01:00:00,0.099,0.005,0,0
2000-01-04 02:00:00,-0.214,0.006,0,0
2000-01-04 03:00:00,-0.566,0.006,0,0
2000-01-04 04:00:00,-0.831,0.005,0,0
2000-01-04 05:00:00,-0.928,0.007,0,0
2000-01-04 06:00:00,-0.900,0.007,0,0
2000-01-04 07:00:00,-0.731,0.005,0,0
2000-01-04 08:00:00,-0.446,0.004,0,0
2000-01-04 09:00:00,-0.113,0.007,0,0
2000-01-04 10:00:00,0.145,0.005,0,0
2000-01-04 11:00:00,0.339,0.004,0,0
2000-01-04 12:00:00,0.437,0.002,0,0
2000-01-04 13:00:00,0.359,0.002,0,0
2000-01-04 14:00:00,0.131,0.005,0,0
2000-01-04 15:00:00,-0.262,0.007,0,0
2000-01-04 16:00:00,-0.604,0.008,0,0
2000-01-04 17:00:00,-0.863,0.007,0,0
2000-01-04 18:00:00,-0.952,0.014,0,0
2000-01-04 19:00:00,-0.903,0.009,0,0
2000-01-04 20:00:00,-0.693,0.012,0,0
2000-01-04 21:00:00,-0.424,0.004,0,0
